student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,category,cluster,pca1,pca2,cluster_label
S1001,22,B.Sc,4,7.73,87,81,1,9,10,4,6,5,6,70,81.32,98.0,44.0,58.0,74.53,Blue,3,0.7013230513102177,3.046754053387926,Stable & Balanced Students
S1002,24,M.Tech,2,4.07,43,44,2,8,8,2,8,2,3,65,42.38,84.0,24.0,33.0,47.7,Yellow,0,-4.1047823371084915,1.512259924661984,Career-Confused Underperformers
S1003,20,B.Sc,7,4.82,51,51,4,8,6,8,2,4,4,62,49.88,68.0,84.0,44.4,60.41,Blue,0,-2.761364466566335,0.8715517877734,Career-Confused Underperformers
S1004,19,M.Tech,2,7.85,78,72,8,6,3,2,8,8,7,72,76.4,36.0,24.0,74.4,55.52,Yellow,2,1.5055357229130215,-1.3012982858750943,High-Risk Disengaged Students
S1005,18,BCA,5,7.71,92,79,4,8,7,5,5,6,7,89,82.14,72.0,54.0,69.8,72.13,Blue,3,1.755854733578576,1.7589561444335873,Stable & Balanced Students
S1006,19,B.Sc,1,5.19,57,49,1,9,10,9,1,6,4,89,52.56,98.0,94.0,57.8,72.99,Blue,0,-1.9603222510423866,3.364096427825458,Career-Confused Underperformers
S1007,24,B.Tech,1,7.48,81,89,3,9,7,1,10,5,6,78,80.92,78.0,10.0,59.6,62.81,Blue,3,0.9180356384849283,2.0165470308689257,Stable & Balanced Students
S1008,25,B.Tech,1,6.33,69,72,9,5,2,1,8,3,4,55,67.62,26.0,18.0,39.0,43.0,Yellow,2,-1.109968829125637,-2.5441149768455755,High-Risk Disengaged Students
S1009,22,BCA,1,6.06,48,56,10,5,1,5,3,5,5,45,55.44,18.0,62.0,49.0,46.43,Yellow,2,-1.7401822564717677,-3.1696909418454964,High-Risk Disengaged Students
S1010,25,BCA,4,7.51,89,85,3,7,7,7,3,10,7,90,82.24,74.0,74.0,86.0,79.1,Blue,3,2.4284144473898497,1.6414373502633346,Stable & Balanced Students
S1011,24,MBA,3,5.6,58,65,9,5,1,2,5,1,3,87,59.3,22.0,36.0,33.4,41.43,Yellow,2,-1.8864451364136132,-2.181603190276338,High-Risk Disengaged Students
S1012,25,B.Tech,7,8.81,82,93,6,7,5,6,4,9,9,76,87.74,54.0,64.0,87.2,74.48,Blue,1,3.199347928128773,0.2516664340780516,High-Achieving but Stressed
S1013,25,B.Tech,6,8.92,93,86,8,6,3,9,2,7,7,91,89.38,36.0,90.0,74.2,73.88,Blue,1,2.8645254120811896,-0.5706117096528479,High-Achieving but Stressed
S1014,23,B.Sc,2,7.29,73,71,8,5,2,5,6,6,7,78,72.36,30.0,50.0,67.6,56.58,Yellow,2,1.0144927443652674,-1.742652558990384,High-Risk Disengaged Students
S1015,18,MBA,4,7.64,83,81,6,7,5,3,8,9,7,82,79.76,54.0,30.0,80.4,63.46,Blue,3,2.0148679767004274,0.24435933596608594,Stable & Balanced Students
S1016,21,MBA,3,7.12,76,70,5,6,5,3,8,8,8,70,72.28,56.0,30.0,78.0,60.61,Blue,3,1.2828742439179368,-0.2656527149698535,Stable & Balanced Students
S1017,20,BCA,6,5.47,65,56,7,6,3,6,5,7,5,93,58.18,40.0,60.0,66.6,55.26,Yellow,2,-0.4894483754792784,-0.6459297299645632,High-Risk Disengaged Students
S1018,20,BCA,5,7.9,91,85,6,7,5,10,1,5,6,84,84.4,54.0,100.0,60.8,76.38,Blue,1,1.5800925650337998,0.5907027919173973,High-Achieving but Stressed
S1019,18,MBA,1,5.43,50,52,9,6,1,6,2,6,6,72,52.32,24.0,72.0,62.4,50.69,Yellow,2,-1.1569317278638698,-1.9970943220065347,High-Risk Disengaged Students
